ID,Linea,Inauguracion,Transbordo,Afluencia_Anual_2025,Afluencia_Diaria_Promedio,Elevador,EE,Elevador_y_EE
Tacuba,7,1984,1,2634510,7218,No,Si,0
Tacubaya,7,1985,2,2274513,6232,No,Si,0
Aculco,8,1994,0,2766155,7579,No,No,0
Apatlaco,8,1994,0,4104884,11246,No,No,0
Atlalilco,8,1994,1,4626445,12675,Si,No,0
Bellas_Artes,8,1994,1,6211550,17018,No,Si,0
Cerro_de_la_Estrella,8,1994,0,3620255,9919,No,No,0
Chabacano,8,1994,2,1291159,3537,Si,Si,1
Constitucion_de_1917,8,1994,0,33565010,91959,Si,No,0
Coyuya,8,1994,0,8625706,23632,Si,No,0
Doctores,8,1994,0,3580686,9810,No,No,0
Escuadron_201,8,1994,0,6548055,17940,No,No,0
Garibaldi,8,1994,1,6045016,16562,No,Si,0
Iztacalco,8,1994,0,5603104,15351,Si,No,0
Iztapalapa,8,1994,0,3383872,9271,No,No,0
La_Viga,8,1994,0,2301016,6304,No,No,0
Obrera,8,1994,0,4123299,11297,No,No,0
Salto_del_Agua,8,1994,1,4487164,12294,No,Si,0
San_Juan_de_Letran,8,1994,0,8092273,22171,No,No,0
Santa_Anita,8,1994,1,1491505,4086,No,No,0
UAM,8,1994,0,7689817,21068,No,No,0
Centro_Medico,9,1987,1,4800425,13152,Si,Si,1
Chabacano,9,1987,2,2801857,7676,No,Si,0
Chilpancingo,9,1988,0,13479359,36930,No,Si,0
Ciudad_Deportiva,9,1987,0,2270404,6220,Si,Si,1
Jamaica,9,1987,1,3924395,10752,No,Si,0
Lazaro_Cardenas,9,1987,0,3855215,10562,No,No,0
Mixiuhca,9,1987,0,7083662,19407,No,No,0
Pantitlan,9,1987,3,16359383,44820,No,Si,0
Patriotismo,9,1988,0,5973653,16366,No,No,0
Puebla,9,1987,0,9341442,25593,No,Si,0
Tacubaya,9,1988,2,21694680,59437,No,Si,0
Velodromo,9,1987,0,2899217,7943,Si,Si,1
Atlalilco,12,2012,1,4360932,11948,Si,Si,1
Calle_11,12,2012,0,4276275,11716,Si,Si,1
Culhuacan,12,2012,0,5442736,14912,Si,Si,1
Eje_Central,12,2012,0,3907654,10706,Si,Si,1
Ermita,12,2012,1,3046483,8347,Si,Si,1
Hospital_20_de_Noviembre,12,2012,0,3493593,9571,Si,Si,1
Insugentes_Sur,12,2012,0,11423375,31297,Si,Si,1
Lomas_Estrella,12,2012,0,3125513,8563,Si,Si,1
Mexilcalcingo,12,2012,0,5509441,15094,Si,Si,1
Mixcoac,12,2012,1,5245428,14371,Si,Si,1
Nopalera,12,2012,0,7813431,21407,Si,Si,1
Olivos,12,2012,0,5321907,14581,Si,Si,1
Parque_de_los_Venados,12,2012,0,3481138,9537,Si,Si,1
Periferico_Oriente,12,2012,0,11261165,30853,Si,Si,1
San_Andres_Tomatlan,12,2012,0,3446063,9441,Si,Si,1
Tezonco,12,2012,0,7483245,20502,Si,Si,1
Tlahuac,12,2012,0,19442307,53267,Si,Si,1
Tlaltenco,12,2012,0,1693684,4640,Si,Si,1
Zapata,12,2012,1,4531365,12415,Si,Si,1
Zapotitlan,12,2012,0,4324687,11848,Si,Si,1
Acatitla,A,1991,0,5038262,13803,No,No,0
Agricola_Oriental,A,1991,0,3703662,10147,No,No,0
Canal_de_San_Juan,A,1991,0,4073516,11160,No,No,0
Guelatao,A,1991,0,6342357,17376,No,No,0
La_Paz,A,1991,0,14392733,39432,Si,No,0
Los_Reyes,A,1991,0,6836028,18729,No,No,0
Pantitlan,A,1991,3,11072684,30336,Si,No,0
Penon_Viejo,A,1991,0,4218264,11557,No,No,0
Santa_Martha,A,1991,0,12893127,35324,Si,No,0
Tepalcates,A,1991,0,8479506,23232,Si,No,0
Bosque_de_Aragon,B,1999,0,1921129,5263,No,No,0
Buenavista,B,1999,0,17365205,47576,Si,No,0
Ciudad_Azteca,B,2000,0,15045286,41220,Si,No,0
Deportivo_Oceania,B,1999,0,4411117,12085,No,No,0
Ecatepec,B,2000,0,7835628,21467,Si,No,0
Garibaldi,B,1999,1,2341922,6416,No,Si,0
Guerrero,B,1999,1,2219042,6080,No,Si,0
Impulsora,B,2000,0,7205450,19741,No,No,0
